label	log_file	start	stop	duration_s	input_detected	solve_started	solved	solve_rate_pct	near_success	near_failed_before_stop	rescue_attempts	pair_build_zero	img_per_min	sec_per_img	near_dur_mean_s	near_dur_median_s	near_dur_p95_s	notes
heavy_ref_partial	run_heavy_ref_partial_2026-04-12.log	2026-04-12T11:26:45.895000	2026-04-12T11:55:58.843000	1752.948	3944	1276	1270	99.530	1268	7	6	6	43.470	1.380	8.015	7.600	11.200	manual_stop_partial_baseline
gpu_500_completed	zesolver.log	2026-04-12T12:19:02.793000	2026-04-12T12:31:46.243000	763.450	500	500	500	100.000	500	1	2	0	39.295	1.527	0.000	0.000	0.000	backend=cuda;device=0
gpu_500_completed_durs	zesolver.log	2026-04-12T12:19:02.793000	2026-04-12T12:31:46.243000	763.450	500	500	500	100.000	500	1	2	0	39.295	1.527	0.000	0.000	0.000	backend=cuda;device=0
gpu_500_completed_v3	zesolver.log	2026-04-12T12:19:02.793000	2026-04-12T12:31:46.243000	763.450	500	500	500	100.000	500	1	2	0	39.295	1.527	9.019	9.700	11.400	backend=cuda;device=0
compare_gpu500_vs_heavy_ref_partial	derived_from_summary.tsv	2026-04-12T12:19:02.793000	2026-04-12T12:31:46.243000	763.450	500	500	500	100.000	500	1	2	0	39.295	1.527	9.019	9.700	11.400	derived_compare;baseline=heavy_ref_partial;candidate=gpu_500_completed_v3;img_per_min_delta_pct=-9.60;sec_per_img_delta_pct=10.65;solve_rate_delta_pp=0.470;near_mean_delta_pct=12.53;near_p95_delta_pct=1.79;pair0:6->0
cpu_500_base_log	zesolver_CPU_BASE.log	2026-04-12T12:42:29.227000	2026-04-12T12:57:09.628000	880.401	500	500	500	100.000	500	1	2	0	34.075	1.761	6.975	7.600	9.000	backend=cpu;device=-1;workers=4
gpu_500_run_log	zesolver_run_gpu.log	2026-04-12T12:19:02.793000	2026-04-12T12:31:46.243000	763.450	500	500	500	100.000	500	1	2	0	39.295	1.527	9.019	9.700	11.400	backend=cuda;device=0;workers=6
compare_gpu_vs_cpu_500_logs	derived_from_logs	2026-04-12T12:19:02.793000	2026-04-12T12:31:46.243000	763.450	500	500	500	100.000	500	1	2	0	39.295	1.527	9.019	9.700	11.400	gpu_vs_cpu;img_per_min_delta_pct=15.32;sec_per_img_delta_pct=-13.29;solve_rate_delta_pp=0.000;near_mean_delta_pct=29.30
cpu_500_run_6_latest	zesolver.log	2026-04-12T13:03:33.460000	2026-04-12T13:15:26.941000	713.481	500	500	500	100.000	500	1	2	0	42.047	1.427	8.466	9.000	10.800	backend=cpu;device=-1;workers=6
compare_cpu6_latest_vs_gpu6_log500	derived_from_summary.tsv	2026-04-12T13:03:33.460000	2026-04-12T13:15:26.941000	713.481	500	500	500	100.000	500	1	2	0	42.047	1.427	8.466	9.000	10.800	cpu_vs_gpu_workers6;cpu=cpu_500_run_6_latest;gpu=gpu_500_run_log;img_per_min_delta_pct=7.00;sec_per_img_delta_pct=-6.55;solve_rate_delta_pp=0.000;near_mean_delta_pct=-6.13;near_p95_delta_pct=-5.26
cpu_500_run_6_timed_latest	zesolver.log	2026-04-12T13:24:02.294000	2026-04-12T13:36:19.482000	737.188	500	500	500	100.000	499	3	2	0	40.695	1.474	8.523	9.000	11.000	backend=cpu;device=-1;workers=6;timing_detect_share_pct=95.5;timing_pair_share_pct=0.2;timing_ransac_share_pct=2.2
cpu_500_run_6_timed_opt_latest	zesolver.log	2026-04-12T13:40:47.809000	2026-04-12T13:46:13.352000	325.543	500	500	500	100.000	499	3	2	0	92.154	0.651	3.733	3.700	5.200	backend=cpu;device=-1;workers=6;timing_detect_share_pct=87.6;timing_pair_share_pct=0.7;timing_ransac_share_pct=5.7
compare_cpu6_timed_before_after_detect_opt	derived_from_summary.tsv	2026-04-12T13:40:47.809000	2026-04-12T13:46:13.352000	325.543	500	500	500	100.000	499	3	2	0	92.154	0.651	3.733	3.700	5.200	before=cpu_500_run_6_timed_latest;after=cpu_500_run_6_timed_opt_latest;img_per_min_delta_pct=126.45;sec_per_img_delta_pct=-55.83;near_mean_delta_pct=-56.20;near_p95_delta_pct=-52.73
cpu_500_run_6_post_ui_latest	zesolver.log	2026-04-12T14:23:42.084000	2026-04-12T14:29:02.327000	320.243	500	500	500	100.000	499	3	2	0	93.679	0.640	3.672	3.700	5.100	backend=cpu;device=-1;workers=6
auto_500_run_6_latest	zesolver.log	2026-04-12T14:35:32.453000	2026-04-12T14:40:43.996000	311.543	500	500	500	100.000	499	3	2	0	96.295	0.623	3.575	3.700	4.900	backend=auto;device=0;workers=6
auto_500_run_6_cuda_active_latest	zesolver.log	2026-04-12T14:52:37.331000	2026-04-12T14:58:49.498000	372.167	500	500	500	100.000	499	4	4	0	80.609	0.744	4.272	3.900	5.100	backend=auto;device=0;workers=6;detect_used_cuda=503
cpu_350_run_6_slots1_latest	zesolver.log	2026-04-12T15:18:00.616000	2026-04-12T15:22:07.659000	247.000	350	350	350	100.000	349	3	2	0	85.020	0.706	3.952	3.800	5.500	backend=cpu;device=-1;workers=6;detect_gpu_slots=1;detect_used_cuda=0;detect_used_cpu=352
auto_350_run_6_slots1_latest	zesolver.log	2026-04-12T15:22:34.454000	2026-04-12T15:26:25.136000	230.700	350	350	350	100.000	349	4	4	0	91.027	0.659	3.739	3.700	4.700	backend=auto;device=0;workers=6;detect_gpu_slots=1;detect_used_cuda=353;detect_used_cpu=0
auto_350_run_6_slots2_latest	zesolver.log	2026-04-12T15:26:47.772000	2026-04-12T15:30:34.538000	226.700	350	350	350	100.000	349	4	4	0	92.633	0.648	3.666	3.700	4.500	backend=auto;device=0;workers=6;detect_gpu_slots=2;detect_used_cuda=352;detect_used_cpu=1
compare_auto_slots1_vs_cpu_350	derived_from_summary.tsv	2026-04-12T15:22:34.454000	2026-04-12T15:26:25.136000	230.700	350	350	350	100.000	349	4	4	0	91.027	0.659	3.739	3.700	4.700	auto_vs_cpu_350;new=auto_350_run_6_slots1_latest;base=cpu_350_run_6_slots1_latest;img_per_min_delta_pct=7.07;sec_per_img_delta_pct=-6.66;near_mean_delta_pct=-5.39;near_p95_delta_pct=-14.55
compare_auto_slots2_vs_slots1_350	derived_from_summary.tsv	2026-04-12T15:26:47.772000	2026-04-12T15:30:34.538000	226.700	350	350	350	100.000	349	4	4	0	92.633	0.648	3.666	3.700	4.500	slots2_vs_slots1_350;new=auto_350_run_6_slots2_latest;base=auto_350_run_6_slots1_latest;img_per_min_delta_pct=1.76;sec_per_img_delta_pct=-1.67;near_mean_delta_pct=-1.95;near_p95_delta_pct=-4.26
